"X","Y","D1","D2","D3","D4","D5","D6","D7","D8","actualX","actualY","experimentalX","experimentalY","errorX","errorY"
"11.0","37.0","2.818383","11.220184","8.912509","70.79458","44.668358","141.25375","56.23413","112.20184","11.0","37.0","13.567489","31.39622","2.5674887","5.6037807"
"11.0","38.0","1.9952623","15.848932","3.9810717","35.48134","39.81072","141.25375","112.20184","125.89254","11.0","38.0","11.169338","31.923517","0.16933823","6.076483"
"11.0","39.0","3.1622777","44.668358","5.0118723","44.668358","89.12509","158.48932","50.118725","89.12509","11.0","39.0","15.70026","34.32697","4.70026","4.673031"
"11.0","40.0","6.3095737","8.912509","1.9952623","35.48134","50.118725","79.43282","19.952623","125.89254","11.0","40.0","14.290506","24.419664","3.2905064","15.580336"
"12.0","24.0","2.818383","12.589254","70.79458","7.943282","35.48134","0.011220185","70.79458","89.12509","12.0","24.0","19.382826","21.666285","7.382826","2.3337154"
"13.0","24.0","3.9810717","14.125376","56.23413","12.589254","12.589254","141.25375","56.23413","100.0","13.0","24.0","23.278416","22.856144","10.278416","1.143856"
"14.0","24.0","5.0118723","11.220184","39.81072","6.3095737","8.912509","63.095734","79.43282","70.79458","14.0","24.0","25.436365","25.91221","11.436365","1.9122105"
"15.0","24.0","3.5481339","10.0","63.095734","12.589254","11.220184","63.095734","79.43282","63.095734","15.0","24.0","12.953499","12.899111","2.0465012","11.100889"
"16.0","24.0","10.0","8.912509","31.622776","5.0118723","7.0794578","70.79458","44.668358","56.23413","16.0","24.0","21.051039","19.24754","5.0510387","4.7524605"
"17.0","24.0","5.623413","12.589254","35.48134","5.0118723","5.623413","112.20184","39.81072","56.23413","17.0","24.0","22.8336","24.380747","5.833599","0.38074684"
"18.0","24.0","3.5481339","10.0","39.81072","7.0794578","7.943282","63.095734","50.118725","141.25375","18.0","24.0","23.072546","23.237957","5.072546","0.762043"
"19.0","24.0","8.912509","8.912509","63.095734","8.912509","15.848932","56.23413","25.118864","44.668358","19.0","24.0","18.479963","24.750538","0.5200367","0.7505379"
"20.0","24.0","4.466836","35.48134","44.668358","5.623413","5.0118723","79.43282","63.095734","39.81072","20.0","24.0","20.92261","23.568516","0.9226093","0.43148422"
"21.0","24.0","5.0118723","7.0794578","31.622776","1.9952623","7.943282","44.668358","39.81072","39.81072","21.0","24.0","15.102786","24.239697","5.897214","0.2396965"
